product_name,product_model,spec_name,spec_value,spec_unit,price
Hydraulic Shearing,AHM-1030,Overall Dimensions,3800 x 2500 x 2800 x 11500,mm,3800000
Hydraulic Shearing,AHM-1325,Cutting Length,2540,mm,3350000
Hydraulic Shearing,AHM-1325,Cutting Capacity MS,13,mm,3350000
Hydraulic Shearing,AHM-1325,Cutting Capacity SS,16,mm,3350000
Hydraulic Shearing,AHM-1325,Stroke/Minute,2-1.3,SPM,3350000
Hydraulic Shearing,AHM-1325,Max Ret,3,mm,3350000
Hydraulic Shearing,AHM-1325,Nominal Angle,20000,degree,3350000
Hydraulic Shearing,AHM-1325,Back Gauge,123,mm,3350000
Hydraulic Shearing,AHM-1325,Motor,13,HP,3350000
Hydraulic Shearing,AHM-1325,Overall Dimensions,3350 x 2600 x 2800 x 8000,mm,3350000
Hydraulic Shearing,AHM-1340,Cutting Length,4000,mm,4850000
Hydraulic Shearing,AHM-1340,Cutting Capacity MS,13,mm,4850000
Hydraulic Shearing,AHM-1340,Cutting Capacity SS,16,mm,4850000
Hydraulic Shearing,AHM-1340,Stroke/Minute,2-1.3,SPM,4850000
Hydraulic Shearing,AHM-1340,Max Ret,3,mm,4850000
Hydraulic Shearing,AHM-1340,Nominal Angle,25000,degree,4850000
Hydraulic Shearing,AHM-1340,Back Gauge,123,mm,4850000
Hydraulic Shearing,AHM-1340,Motor,9,HP,4850000
Hydraulic Shearing,AHM-1340,Overall Dimensions,4850 x 2600 x 2800 x 15500,mm,4850000
Hydraulic Shearing,AHM-1630,Cutting Length,3125,mm,4000000
Hydraulic Shearing,AHM-1630,Cutting Capacity MS,16,mm,4000000
Hydraulic Shearing,AHM-1630,Stroke/Minute,2.5-1.3,SPM,4000000
Hydraulic Shearing,AHM-1630,Max Ret,3,mm,4000000
Hydraulic Shearing,AHM-1630,Nominal Angle,28000,degree,4000000
Hydraulic Shearing,AHM-1630,Back Gauge,123,mm,4000000
Hydraulic Shearing,AHM-1630,Motor,12,HP,4000000
Hydraulic Shearing,AHM-1630,Overall Dimensions,4000 x 2800 x 2900 x 17000,mm,4000000
Hydraulic Shearing,AHM-2025,Cutting Length,2540,mm,3500000
Hydraulic Shearing,AHM-2025,Cutting Capacity MS,20,mm,3500000
Hydraulic Shearing,AHM-2025,Stroke/Minute,2.5-1.3,SPM,3500000
Hydraulic Shearing,AHM-2025,Max Ret,3,mm,3500000
Hydraulic Shearing,AHM-2025,Nominal Angle,28000,degree,3500000
Hydraulic Shearing,AHM-2025,Back Gauge,123,mm,3500000
Hydraulic Shearing,AHM-2025,Motor,12,HP,3500000
Hydraulic Shearing,AHM-2025,Overall Dimensions,3500 x 2750 x 3000 x 18000,mm,3500000
Hydraulic Shearing,AHM-2040,Cutting Length,4000,mm,5100000
Hydraulic Shearing,AHM-2040,Cutting Capacity MS,20,mm,5100000
Hydraulic Shearing,AHM-2040,Stroke/Minute,2.5-1.3,SPM,5100000
Hydraulic Shearing,AHM-2040,Max Ret,3,mm,5100000
Hydraulic Shearing,AHM-2040,Nominal Angle,40000,degree,5100000
Hydraulic Shearing,AHM-2040,Back Gauge,123,mm,5100000
Hydraulic Shearing,AHM-2040,Motor,9,HP,5100000
Hydraulic Shearing,AHM-2040,Overall Dimensions,5100 x 2800 x 3000 x 24000,mm,5100000
Hydraulic Shearing,AHM-2530,Cutting Length,3125,mm,4000000
Hydraulic Shearing,AHM-2530,Cutting Capacity MS,25,mm,4000000
Hydraulic Shearing,AHM-2530,Stroke/Minute,2.5-1.3,SPM,4000000
Hydraulic Shearing,AHM-2530,Max Ret,3,mm,4000000
Hydraulic Shearing,AHM-2530,Nominal Angle,45000,degree,4000000
Hydraulic Shearing,AHM-2530,Back Gauge,123,mm,4000000
Hydraulic Shearing,AHM-2530,Motor,8,HP,4000000
Hydraulic Shearing,AHM-2530,Overall Dimensions,4000 x 2900 x 3200 x 28000,mm,4000000
Hydraulic Shearing,AHM-2540,Cutting Length,4000,mm,5100000
Hydraulic Shearing,AHM-2540,Cutting Capacity MS,25,mm,5100000
Hydraulic Shearing,AHM-2540,Stroke/Minute,2.5-1.3,SPM,5100000
Hydraulic Shearing,AHM-2540,Max Ret,3,mm,5100000
Hydraulic Shearing,AHM-2540,Nominal Angle,50000,degree,5100000
Hydraulic Shearing,AHM-2540,Back Gauge,123,mm,5100000
Hydraulic Shearing,AHM-2540,Motor,7,HP,5100000
Hydraulic Shearing,AHM-2540,Overall Dimensions,5100 x 2900 x 3200 x 32000,mm,5100000
